epoch,train_loss,train_acc,dev_loss,dev_acc
1,3.913,11.80,3.67,15.62
2,3.501,18.56,3.52,18.40
3,3.336,21.48,3.46,19.46
4,3.221,23.67,3.42,20.16
5,3.126,25.39,3.38,21.14
6,3.044,26.91,3.36,20.70
7,2.975,28.41,3.33,21.30
8,2.912,29.50,3.33,21.74
9,2.856,30.66,3.33,22.08
10,2.804,31.56,3.33,21.92
