epoch,train_loss,train_acc,dev_loss,dev_acc
1,3.944,11.21,3.65,14.92
2,3.447,18.96,3.44,18.72
3,3.237,22.08,3.36,20.38
4,3.083,24.86,3.28,22.02
5,2.968,27.07,3.26,21.98
6,2.861,28.91,3.25,22.54
7,2.765,30.76,3.22,23.66
8,2.684,32.57,3.23,23.70
9,2.595,34.27,3.24,23.64
10,2.522,35.74,3.28,24.08
