epoch,train_loss,train_acc,dev_loss,dev_acc
1,1.464,35.24,1.25,51.94
2,1.125,55.35,1.20,55.81
3,0.936,64.05,1.20,55.81
4,0.815,69.98,1.28,56.59
5,0.691,75.91,1.26,56.20
6,0.587,81.09,1.37,57.75
7,0.475,85.99,1.50,56.98
8,0.378,89.56,1.56,57.36
9,0.299,93.18,1.60,58.91
10,0.221,95.94,1.75,60.08
