epoch,train_loss,train_acc,dev_loss,dev_acc
1,3.793,12.58,3.42,19.02
2,3.130,23.19,3.05,24.64
3,2.818,29.32,2.87,28.04
4,2.592,34.03,2.72,31.16
5,2.414,37.51,2.68,32.40
6,2.269,40.75,2.63,33.48
7,2.140,43.52,2.60,35.30
8,2.030,45.98,2.59,35.64
9,1.930,48.38,2.59,35.96
10,1.835,50.44,2.60,35.52
